cod_municipio,cod_grande_reg,cod_unidade_fed,nome_grande_reg,nome_unidade_fed,nome_municipio,pib,pib_per_capita
3300100,3,33,Sudeste     ,Rio de Janeiro     ,Angra dos Reis                          ,7756628.497       ,41941.32          
3300159,3,33,Sudeste     ,Rio de Janeiro     ,Aperibé                                 ,142621.052        ,13106.14          
3300209,3,33,Sudeste     ,Rio de Janeiro     ,Araruama                                ,2063933.747       ,17064.64          
3300225,3,33,Sudeste     ,Rio de Janeiro     ,Areal                                   ,271556.832        ,22860.24          
3300233,3,33,Sudeste     ,Rio de Janeiro     ,Armação dos Búzios                      ,3983706.738       ,130875.09         
3300258,3,33,Sudeste     ,Rio de Janeiro     ,Arraial do Cabo                         ,1130031.915       ,39147.51          
3300308,3,33,Sudeste     ,Rio de Janeiro     ,Barra do Piraí                          ,1897184.912       ,19646.10          
3300407,3,33,Sudeste     ,Rio de Janeiro     ,Barra Mansa                             ,5397423.493       ,30036.25          
3300456,3,33,Sudeste     ,Rio de Janeiro     ,Belford Roxo                            ,6592295.518       ,13751.54          
3300506,3,33,Sudeste     ,Rio de Janeiro     ,Bom Jardim                              ,656729.350        ,25137.00          
3300605,3,33,Sudeste     ,Rio de Janeiro     ,Bom Jesus do Itabapoana                 ,606058.350        ,16883.73          
3300704,3,33,Sudeste     ,Rio de Janeiro     ,Cabo Frio                               ,17208138.933      ,84153.14          
3300803,3,33,Sudeste     ,Rio de Janeiro     ,Cachoeiras de Macacu                    ,958313.271        ,17122.83          
3300902,3,33,Sudeste     ,Rio de Janeiro     ,Cambuci                                 ,283110.632        ,19065.97          
3300936,3,33,Sudeste     ,Rio de Janeiro     ,Carapebus                               ,911496.461        ,61951.77          
3300951,3,33,Sudeste     ,Rio de Janeiro     ,Comendador Levy Gasparian               ,254202.230        ,30831.08          
3301009,3,33,Sudeste     ,Rio de Janeiro     ,Campos dos Goytacazes                   ,58004933.013      ,120680.69         
3301108,3,33,Sudeste     ,Rio de Janeiro     ,Cantagalo                               ,855426.983        ,43220.85          
3301157,3,33,Sudeste     ,Rio de Janeiro     ,Cardoso Moreira                         ,271856.754        ,21613.67          
3301207,3,33,Sudeste     ,Rio de Janeiro     ,Carmo                                   ,355383.495        ,19662.69          
3301306,3,33,Sudeste     ,Rio de Janeiro     ,Casimiro de Abreu                       ,3598888.933       ,91309.91          
3301405,3,33,Sudeste     ,Rio de Janeiro     ,Conceição de Macabu                     ,272137.566        ,12366.52          
3301504,3,33,Sudeste     ,Rio de Janeiro     ,Cordeiro                                ,316892.971        ,15115.33          
3301603,3,33,Sudeste     ,Rio de Janeiro     ,Duas Barras                             ,197560.831        ,17804.69          
3301702,3,33,Sudeste     ,Rio de Janeiro     ,Duque de Caxias                         ,28862818.723      ,32858.33          
3301801,3,33,Sudeste     ,Rio de Janeiro     ,Engenheiro Paulo de Frontin             ,222111.195        ,16372.64          
3301850,3,33,Sudeste     ,Rio de Janeiro     ,Guapimirim                              ,764536.809        ,13744.23          
3301876,3,33,Sudeste     ,Rio de Janeiro     ,Iguaba Grande                           ,361776.871        ,14269.03          
3301900,3,33,Sudeste     ,Rio de Janeiro     ,Itaboraí                                ,5053066.112       ,22243.74          
3302007,3,33,Sudeste     ,Rio de Janeiro     ,Itaguaí                                 ,7930533.651       ,67566.36          
3302056,3,33,Sudeste     ,Rio de Janeiro     ,Italva                                  ,279815.854        ,19312.30          
3302106,3,33,Sudeste     ,Rio de Janeiro     ,Itaocara                                ,1024006.622       ,44865.34          
3302205,3,33,Sudeste     ,Rio de Janeiro     ,Itaperuna                               ,2198576.663       ,22315.82          
3302254,3,33,Sudeste     ,Rio de Janeiro     ,Itatiaia                                ,3276893.333       ,109244.34         
3302270,3,33,Sudeste     ,Rio de Janeiro     ,Japeri                                  ,1105726.247       ,11153.07          
3302304,3,33,Sudeste     ,Rio de Janeiro     ,Laje do Muriaé                          ,126636.940        ,17250.64          
3302403,3,33,Sudeste     ,Rio de Janeiro     ,Macaé                                   ,21419169.559      ,93279.32          
3302452,3,33,Sudeste     ,Rio de Janeiro     ,Macuco                                  ,126244.881        ,23465.59          
3302502,3,33,Sudeste     ,Rio de Janeiro     ,Magé                                    ,3289174.993       ,14078.32          
3302601,3,33,Sudeste     ,Rio de Janeiro     ,Mangaratiba                             ,3011897.584       ,75282.38          
3302700,3,33,Sudeste     ,Rio de Janeiro     ,Maricá                                  ,9757407.892       ,68180.70          
3302809,3,33,Sudeste     ,Rio de Janeiro     ,Mendes                                  ,243980.940        ,13490.04          
3302858,3,33,Sudeste     ,Rio de Janeiro     ,Mesquita                                ,2013252.202       ,11809.80          
3302908,3,33,Sudeste     ,Rio de Janeiro     ,Miguel Pereira                          ,644124.688        ,25942.43          
3303005,3,33,Sudeste     ,Rio de Janeiro     ,Miracema                                ,390587.738        ,14615.62          
3303104,3,33,Sudeste     ,Rio de Janeiro     ,Natividade                              ,240134.522        ,15966.39          
3303203,3,33,Sudeste     ,Rio de Janeiro     ,Nilópolis                               ,2379969.285       ,15034.65          
3303302,3,33,Sudeste     ,Rio de Janeiro     ,Niterói                                 ,24642144.196      ,49734.89          
3303401,3,33,Sudeste     ,Rio de Janeiro     ,Nova Friburgo                           ,4081020.609       ,22124.15          
3303500,3,33,Sudeste     ,Rio de Janeiro     ,Nova Iguaçu                             ,14716568.092      ,18254.76          
3303609,3,33,Sudeste     ,Rio de Janeiro     ,Paracambi                               ,691579.490        ,14079.39          
3303708,3,33,Sudeste     ,Rio de Janeiro     ,Paraíba do Sul                          ,807971.149        ,19164.86          
3303807,3,33,Sudeste     ,Rio de Janeiro     ,Paraty                                  ,3671117.546       ,91858.31          
3303856,3,33,Sudeste     ,Rio de Janeiro     ,Paty do Alferes                         ,415503.226        ,15528.19          
3303906,3,33,Sudeste     ,Rio de Janeiro     ,Petrópolis                              ,11070793.020      ,37148.19          
3303955,3,33,Sudeste     ,Rio de Janeiro     ,Pinheiral                               ,294414.514        ,12427.27          
3304003,3,33,Sudeste     ,Rio de Janeiro     ,Piraí                                   ,1563985.787       ,56709.30          
3304102,3,33,Sudeste     ,Rio de Janeiro     ,Porciúncula                             ,271678.998        ,14851.53          
3304110,3,33,Sudeste     ,Rio de Janeiro     ,Porto Real                              ,3097650.331       ,172378.98         
3304128,3,33,Sudeste     ,Rio de Janeiro     ,Quatis                                  ,264161.734        ,19691.52          
3304144,3,33,Sudeste     ,Rio de Janeiro     ,Queimados                               ,3925114.257       ,27504.32          
3304151,3,33,Sudeste     ,Rio de Janeiro     ,Quissamã                                ,4574472.121       ,205492.66         
3304201,3,33,Sudeste     ,Rio de Janeiro     ,Resende                                 ,7757843.180       ,62404.22          
3304300,3,33,Sudeste     ,Rio de Janeiro     ,Rio Bonito                              ,1491126.503       ,26030.42          
3304409,3,33,Sudeste     ,Rio de Janeiro     ,Rio Claro                               ,297150.595        ,16723.92          
3304508,3,33,Sudeste     ,Rio de Janeiro     ,Rio das Flores                          ,177113.549        ,20040.00          
3304524,3,33,Sudeste     ,Rio de Janeiro     ,Rio das Ostras                          ,14336159.287      ,112731.36         
3304557,3,33,Sudeste     ,Rio de Janeiro     ,Rio de Janeiro                          ,300270151.610     ,46526.95          
3304607,3,33,Sudeste     ,Rio de Janeiro     ,Santa Maria Madalena                    ,159233.209        ,15530.40          
3304706,3,33,Sudeste     ,Rio de Janeiro     ,Santo Antônio de Pádua                  ,924937.989        ,22500.19          
3304755,3,33,Sudeste     ,Rio de Janeiro     ,São Francisco de Itabapoana             ,1002625.105       ,24251.39          
3304805,3,33,Sudeste     ,Rio de Janeiro     ,São Fidélis                             ,676773.638        ,17946.79          
3304904,3,33,Sudeste     ,Rio de Janeiro     ,São Gonçalo                             ,15527349.794      ,15047.30          
3305000,3,33,Sudeste     ,Rio de Janeiro     ,São João da Barra                       ,8844406.293       ,258057.55         
3305109,3,33,Sudeste     ,Rio de Janeiro     ,São João de Meriti                      ,7253960.063       ,15745.14          
3305133,3,33,Sudeste     ,Rio de Janeiro     ,São José de Ubá                         ,168768.799        ,23521.78          
3305158,3,33,Sudeste     ,Rio de Janeiro     ,São José do Vale do Rio Preto           ,343377.225        ,16499.00          
3305208,3,33,Sudeste     ,Rio de Janeiro     ,São Pedro da Aldeia                     ,1779711.462       ,18671.31          
3305307,3,33,Sudeste     ,Rio de Janeiro     ,São Sebastião do Alto                   ,150513.200        ,16662.59          
3305406,3,33,Sudeste     ,Rio de Janeiro     ,Sapucaia                                ,707013.887        ,40152.99          
3305505,3,33,Sudeste     ,Rio de Janeiro     ,Saquarema                               ,1919564.917       ,23723.23          
3305554,3,33,Sudeste     ,Rio de Janeiro     ,Seropédica                              ,2151936.401       ,26214.35          
3305604,3,33,Sudeste     ,Rio de Janeiro     ,Silva Jardim                            ,342721.712        ,16063.07          
3305703,3,33,Sudeste     ,Rio de Janeiro     ,Sumidouro                               ,343089.123        ,22722.64          
3305752,3,33,Sudeste     ,Rio de Janeiro     ,Tanguá                                  ,567216.225        ,17648.30          
3305802,3,33,Sudeste     ,Rio de Janeiro     ,Teresópolis                             ,4450034.578       ,25950.45          
3305901,3,33,Sudeste     ,Rio de Janeiro     ,Trajano de Moraes                       ,161488.216        ,15605.74          
3306008,3,33,Sudeste     ,Rio de Janeiro     ,Três Rios                               ,3429417.889       ,43411.45          
3306107,3,33,Sudeste     ,Rio de Janeiro     ,Valença                                 ,1625456.356       ,22131.61          
3306156,3,33,Sudeste     ,Rio de Janeiro     ,Varre-Sai                               ,128294.671        ,12873.24          
3306206,3,33,Sudeste     ,Rio de Janeiro     ,Vassouras                               ,790340.880        ,22405.13          
3306305,3,33,Sudeste     ,Rio de Janeiro     ,Volta Redonda                           ,10501937.104      ,40044.14          
3300100,3,33,Sudeste     ,Rio de Janeiro     ,Angra dos Reis                          ,7600989.489       ,40371.53          
3300159,3,33,Sudeste     ,Rio de Janeiro     ,Aperibé                                 ,156723.066        ,14217.82          
3300209,3,33,Sudeste     ,Rio de Janeiro     ,Araruama                                ,2251793.444       ,18327.38          
3300225,3,33,Sudeste     ,Rio de Janeiro     ,Areal                                   ,294170.546        ,24575.65          
3300233,3,33,Sudeste     ,Rio de Janeiro     ,Armação dos Búzios                      ,2282739.492       ,73477.95          
3300258,3,33,Sudeste     ,Rio de Janeiro     ,Arraial do Cabo                         ,801488.624        ,27545.40          
3300308,3,33,Sudeste     ,Rio de Janeiro     ,Barra do Piraí                          ,1951268.242       ,20144.20          
3300407,3,33,Sudeste     ,Rio de Janeiro     ,Barra Mansa                             ,4962638.828       ,27583.24          
3300456,3,33,Sudeste     ,Rio de Janeiro     ,Belford Roxo                            ,7386583.335       ,15352.67          
3300506,3,33,Sudeste     ,Rio de Janeiro     ,Bom Jardim                              ,678454.395        ,25818.34          
3300605,3,33,Sudeste     ,Rio de Janeiro     ,Bom Jesus do Itabapoana                 ,668437.034        ,18586.28          
3300704,3,33,Sudeste     ,Rio de Janeiro     ,Cabo Frio                               ,10639147.964      ,51039.08          
3300803,3,33,Sudeste     ,Rio de Janeiro     ,Cachoeiras de Macacu                    ,990737.885        ,17600.60          
3300902,3,33,Sudeste     ,Rio de Janeiro     ,Cambuci                                 ,285792.149        ,19263.42          
3300936,3,33,Sudeste     ,Rio de Janeiro     ,Carapebus                               ,536423.349        ,35742.49          
3300951,3,33,Sudeste     ,Rio de Janeiro     ,Comendador Levy Gasparian               ,333014.849        ,40365.44          
3301009,3,33,Sudeste     ,Rio de Janeiro     ,Campos dos Goytacazes                   ,34158330.051      ,70579.44          
3301108,3,33,Sudeste     ,Rio de Janeiro     ,Cantagalo                               ,1030744.806       ,52165.84          
3301157,3,33,Sudeste     ,Rio de Janeiro     ,Cardoso Moreira                         ,309845.691        ,24673.17          
3301207,3,33,Sudeste     ,Rio de Janeiro     ,Carmo                                   ,393923.258        ,21644.14          
3301306,3,33,Sudeste     ,Rio de Janeiro     ,Casimiro de Abreu                       ,1976829.147       ,49046.75          
3301405,3,33,Sudeste     ,Rio de Janeiro     ,Conceição de Macabu                     ,303081.013        ,13675.09          
3301504,3,33,Sudeste     ,Rio de Janeiro     ,Cordeiro                                ,342589.656        ,16265.00          
3301603,3,33,Sudeste     ,Rio de Janeiro     ,Duas Barras                             ,202596.817        ,18217.50          
3301702,3,33,Sudeste     ,Rio de Janeiro     ,Duque de Caxias                         ,35294440.412      ,39983.32          
3301801,3,33,Sudeste     ,Rio de Janeiro     ,Engenheiro Paulo de Frontin             ,248001.243        ,18200.59          
3301850,3,33,Sudeste     ,Rio de Janeiro     ,Guapimirim                              ,824794.581        ,14594.26          
3301876,3,33,Sudeste     ,Rio de Janeiro     ,Iguaba Grande                           ,394992.975        ,15250.11          
3301900,3,33,Sudeste     ,Rio de Janeiro     ,Itaboraí                                ,4312980.354       ,18833.40          
3302007,3,33,Sudeste     ,Rio de Janeiro     ,Itaguaí                                 ,7401614.223       ,62123.79          
3302056,3,33,Sudeste     ,Rio de Janeiro     ,Italva                                  ,323089.317        ,22176.49          
3302106,3,33,Sudeste     ,Rio de Janeiro     ,Itaocara                                ,496244.939        ,21785.19          
3302205,3,33,Sudeste     ,Rio de Janeiro     ,Itaperuna                               ,2374806.328       ,23982.86          
3302254,3,33,Sudeste     ,Rio de Janeiro     ,Itatiaia                                ,3571717.074       ,118112.34         
3302270,3,33,Sudeste     ,Rio de Janeiro     ,Japeri                                  ,1323637.229       ,13254.53          
3302304,3,33,Sudeste     ,Rio de Janeiro     ,Laje do Muriaé                          ,125892.059        ,17250.21          
3302403,3,33,Sudeste     ,Rio de Janeiro     ,Macaé                                   ,19671568.653      ,83841.52          
3302452,3,33,Sudeste     ,Rio de Janeiro     ,Macuco                                  ,133435.305        ,24719.40          
3302502,3,33,Sudeste     ,Rio de Janeiro     ,Magé                                    ,3573399.762       ,15218.33          
3302601,3,33,Sudeste     ,Rio de Janeiro     ,Mangaratiba                             ,3699336.855       ,90716.71          
3302700,3,33,Sudeste     ,Rio de Janeiro     ,Maricá                                  ,9576205.202       ,65344.73          
3302809,3,33,Sudeste     ,Rio de Janeiro     ,Mendes                                  ,262980.043        ,14530.09          
3302858,3,33,Sudeste     ,Rio de Janeiro     ,Mesquita                                ,2074803.819       ,12151.05          
3302908,3,33,Sudeste     ,Rio de Janeiro     ,Miguel Pereira                          ,650015.845        ,26166.00          
3303005,3,33,Sudeste     ,Rio de Janeiro     ,Miracema                                ,452755.187        ,16979.38          
3303104,3,33,Sudeste     ,Rio de Janeiro     ,Natividade                              ,223271.460        ,14871.88          
3303203,3,33,Sudeste     ,Rio de Janeiro     ,Nilópolis                               ,2515632.184       ,15890.65          
3303302,3,33,Sudeste     ,Rio de Janeiro     ,Niterói                                 ,25496900.610      ,51333.01          
3303401,3,33,Sudeste     ,Rio de Janeiro     ,Nova Friburgo                           ,4478152.849       ,24234.26          
3303500,3,33,Sudeste     ,Rio de Janeiro     ,Nova Iguaçu                             ,15888288.776      ,19676.09          
3303609,3,33,Sudeste     ,Rio de Janeiro     ,Paracambi                               ,857687.993        ,17319.68          
3303708,3,33,Sudeste     ,Rio de Janeiro     ,Paraíba do Sul                          ,863598.299        ,20389.04          
3303807,3,33,Sudeste     ,Rio de Janeiro     ,Paraty                                  ,2222637.279       ,54909.76          
3303856,3,33,Sudeste     ,Rio de Janeiro     ,Paty do Alferes                         ,484175.363        ,18054.12          
3303906,3,33,Sudeste     ,Rio de Janeiro     ,Petrópolis                              ,11497015.656      ,38562.21          
3303955,3,33,Sudeste     ,Rio de Janeiro     ,Pinheiral                               ,325219.178        ,13614.90          
3304003,3,33,Sudeste     ,Rio de Janeiro     ,Piraí                                   ,1745384.850       ,62697.93          
3304102,3,33,Sudeste     ,Rio de Janeiro     ,Porciúncula                             ,315756.664        ,17484.73          
3304110,3,33,Sudeste     ,Rio de Janeiro     ,Porto Real                              ,2804596.587       ,153541.91         
3304128,3,33,Sudeste     ,Rio de Janeiro     ,Quatis                                  ,243645.265        ,17990.49          
3304144,3,33,Sudeste     ,Rio de Janeiro     ,Queimados                               ,4900734.313       ,34120.07          
3304151,3,33,Sudeste     ,Rio de Janeiro     ,Quissamã                                ,2412851.768       ,106293.03         
3304201,3,33,Sudeste     ,Rio de Janeiro     ,Resende                                 ,6383741.898       ,50982.65          
3304300,3,33,Sudeste     ,Rio de Janeiro     ,Rio Bonito                              ,1483971.762       ,25756.69          
3304409,3,33,Sudeste     ,Rio de Janeiro     ,Rio Claro                               ,325951.474        ,18285.17          
3304508,3,33,Sudeste     ,Rio de Janeiro     ,Rio das Flores                          ,182358.603        ,20508.17          
3304524,3,33,Sudeste     ,Rio de Janeiro     ,Rio das Ostras                          ,8716420.961       ,66045.50          
3304557,3,33,Sudeste     ,Rio de Janeiro     ,Rio de Janeiro                          ,320186614.790     ,49437.22          
3304607,3,33,Sudeste     ,Rio de Janeiro     ,Santa Maria Madalena                    ,156609.537        ,15316.34          
3304706,3,33,Sudeste     ,Rio de Janeiro     ,Santo Antônio de Pádua                  ,1031526.293       ,25050.42          
3304755,3,33,Sudeste     ,Rio de Janeiro     ,São Francisco de Itabapoana             ,910097.841        ,22041.07          
3304805,3,33,Sudeste     ,Rio de Janeiro     ,São Fidélis                             ,716978.691        ,19016.49          
3304904,3,33,Sudeste     ,Rio de Janeiro     ,São Gonçalo                             ,16639685.098      ,16029.27          
3305000,3,33,Sudeste     ,Rio de Janeiro     ,São João da Barra                       ,7310408.035       ,211387.33         
3305109,3,33,Sudeste     ,Rio de Janeiro     ,São João de Meriti                      ,9085882.105       ,19725.12          
3305133,3,33,Sudeste     ,Rio de Janeiro     ,São José de Ubá                         ,178967.940        ,24835.96          
3305158,3,33,Sudeste     ,Rio de Janeiro     ,São José do Vale do Rio Preto           ,397747.512        ,19016.42          
3305208,3,33,Sudeste     ,Rio de Janeiro     ,São Pedro da Aldeia                     ,1958301.865       ,20205.34          
3305307,3,33,Sudeste     ,Rio de Janeiro     ,São Sebastião do Alto                   ,161637.831        ,17852.64          
3305406,3,33,Sudeste     ,Rio de Janeiro     ,Sapucaia                                ,726387.234        ,41257.94          
3305505,3,33,Sudeste     ,Rio de Janeiro     ,Saquarema                               ,2065630.382       ,25080.81          
3305554,3,33,Sudeste     ,Rio de Janeiro     ,Seropédica                              ,2294078.526       ,27675.51          
3305604,3,33,Sudeste     ,Rio de Janeiro     ,Silva Jardim                            ,378595.394        ,17768.59          
3305703,3,33,Sudeste     ,Rio de Janeiro     ,Sumidouro                               ,349439.237        ,23100.37          
3305752,3,33,Sudeste     ,Rio de Janeiro     ,Tanguá                                  ,556261.757        ,17154.81          
3305802,3,33,Sudeste     ,Rio de Janeiro     ,Teresópolis                             ,5008883.560       ,28943.05          
3305901,3,33,Sudeste     ,Rio de Janeiro     ,Trajano de Moraes                       ,175821.649        ,16987.60          
3306008,3,33,Sudeste     ,Rio de Janeiro     ,Três Rios                               ,3582746.802       ,45200.18          
3306107,3,33,Sudeste     ,Rio de Janeiro     ,Valença                                 ,1902221.857       ,25801.59          
3306156,3,33,Sudeste     ,Rio de Janeiro     ,Varre-Sai                               ,146665.598        ,14099.75          
3306206,3,33,Sudeste     ,Rio de Janeiro     ,Vassouras                               ,911754.278        ,25732.51          
3306305,3,33,Sudeste     ,Rio de Janeiro     ,Volta Redonda                           ,10612959.694      ,40358.06          
3300100,3,33,Sudeste     ,Rio de Janeiro     ,Angra dos Reis                          ,9294025.008       ,48531.75          
3300159,3,33,Sudeste     ,Rio de Janeiro     ,Aperibé                                 ,167714.032        ,15028.14          
3300209,3,33,Sudeste     ,Rio de Janeiro     ,Araruama                                ,2476383.710       ,19820.58          
3300225,3,33,Sudeste     ,Rio de Janeiro     ,Areal                                   ,315905.364        ,26198.82          
3300233,3,33,Sudeste     ,Rio de Janeiro     ,Armação dos Búzios                      ,1472824.312       ,46499.47          
3300258,3,33,Sudeste     ,Rio de Janeiro     ,Arraial do Cabo                         ,664032.006        ,22837.02          
3300308,3,33,Sudeste     ,Rio de Janeiro     ,Barra do Piraí                          ,1984591.723       ,20427.70          
3300407,3,33,Sudeste     ,Rio de Janeiro     ,Barra Mansa                             ,4792723.201       ,26607.61          
3300456,3,33,Sudeste     ,Rio de Janeiro     ,Belford Roxo                            ,7941396.808       ,16071.11          
3300506,3,33,Sudeste     ,Rio de Janeiro     ,Bom Jardim                              ,678484.974        ,25676.85          
3300605,3,33,Sudeste     ,Rio de Janeiro     ,Bom Jesus do Itabapoana                 ,710392.753        ,19716.15          
3300704,3,33,Sudeste     ,Rio de Janeiro     ,Cabo Frio                               ,7207339.910       ,33950.60          
3300803,3,33,Sudeste     ,Rio de Janeiro     ,Cachoeiras de Macacu                    ,1042234.627       ,18413.06          
3300902,3,33,Sudeste     ,Rio de Janeiro     ,Cambuci                                 ,333998.422        ,22530.92          
3300936,3,33,Sudeste     ,Rio de Janeiro     ,Carapebus                               ,302993.812        ,19812.58          
3300951,3,33,Sudeste     ,Rio de Janeiro     ,Comendador Levy Gasparian               ,349232.953        ,42305.63          
3301009,3,33,Sudeste     ,Rio de Janeiro     ,Campos dos Goytacazes                   ,17274331.822      ,35457.36          
3301108,3,33,Sudeste     ,Rio de Janeiro     ,Cantagalo                               ,865419.608        ,43869.80          
3301157,3,33,Sudeste     ,Rio de Janeiro     ,Cardoso Moreira                         ,330960.694        ,26396.61          
3301207,3,33,Sudeste     ,Rio de Janeiro     ,Carmo                                   ,466417.457        ,25456.69          
3301306,3,33,Sudeste     ,Rio de Janeiro     ,Casimiro de Abreu                       ,1140072.349       ,27693.84          
3301405,3,33,Sudeste     ,Rio de Janeiro     ,Conceição de Macabu                     ,332182.999        ,14886.09          
3301504,3,33,Sudeste     ,Rio de Janeiro     ,Cordeiro                                ,345983.494        ,16352.37          
3301603,3,33,Sudeste     ,Rio de Janeiro     ,Duas Barras                             ,233632.846        ,20963.02          
3301702,3,33,Sudeste     ,Rio de Janeiro     ,Duque de Caxias                         ,41539673.406      ,46836.03          
3301801,3,33,Sudeste     ,Rio de Janeiro     ,Engenheiro Paulo de Frontin             ,259199.894        ,19170.17          
3301850,3,33,Sudeste     ,Rio de Janeiro     ,Guapimirim                              ,888163.457        ,15553.16          
3301876,3,33,Sudeste     ,Rio de Janeiro     ,Iguaba Grande                           ,426113.175        ,16122.33          
3301900,3,33,Sudeste     ,Rio de Janeiro     ,Itaboraí                                ,4350443.239       ,18850.55          
3302007,3,33,Sudeste     ,Rio de Janeiro     ,Itaguaí                                 ,7861566.037       ,65049.57          
